DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2002-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8215.9,,,,1
2002-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8223.8,,,,1
2003-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8232.8,,,,1
2003-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8241.7,,,,1
2003-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8252.6,,,,1
2003-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8266,,,,1
2003-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8276.7,,,,1
2003-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8290.6,,,,1
2003-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8301,,,,1
2003-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8310.1,,,,1
2003-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8321.6,,,,1
2003-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8331.1,,,,1
