YEAR,GEO,DGUID,Family characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,"Toronto, Ontario",2016S0503535,"Median total income, couple families",Dollars,81,units,0,v21188039,19.11,91700,,,,0
2018,"Toronto, Ontario",2016S0503535,"Median total income, couple families",Dollars,81,units,0,v21188039,19.11,95140,,,,0
2000,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,29400,,,,0
2001,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,31900,,,,0
2002,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,32600,,,,0
2003,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,32300,,,,0
2004,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,33100,,,,0
2005,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,31600,,,,0
2006,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,35600,,,,0
2007,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,37090,,,,0
2008,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,38380,,,,0
2009,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,38250,,,,0
2010,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,39340,,,,0
2011,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,39590,,,,0
2012,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,40280,,,,0
2013,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,41150,,,,0
2014,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,43380,,,,0
2015,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,45440,,,,0
2016,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,47480,,,,0
2017,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,47240,,,,0
2018,"Toronto, Ontario",2016S0503535,"Median total income, lone-parent families",Dollars,81,units,0,v21188041,19.13,50280,,,,0
2000,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,696510,,,,0
2001,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,698110,,,,0
2002,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,685930,,,,0
2003,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,700320,,,,0
2004,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,706300,,,,0
2005,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,730860,,,,0
2006,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,748960,,,,0
2007,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,763070,,,,0
2008,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,784910,,,,0
2009,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,799730,,,,0
2010,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,817860,,,,0
2011,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,836970,,,,0
2012,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,853160,,,,0
2013,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,877140,,,,0
2014,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,900210,,,,0
2015,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,921610,,,,0
2016,"Toronto, Ontario",2016S0503535,Persons not in census families,Number,223,units,0,v21188046,19.18,945850,,,,0
